Track Name,Artist,Genres
Swing Lynn,Harmless,modern dream pop
The Less I Know The Better,Tame Impala,"australian psych, modern rock, neo-psychedelic, rock"
Young,Vacations,"newcastle nsw indie, pov: indie"
Black Out Days - Future Islands Remix,Phantogram,"indietronica, metropopolis, neo-synthpop"
High You Are,What So Not,"aussietronica, brostep, edm, electro house, electronic trap, escape room, vapor twitch"
"Don't Think Twice, It's All Right",Bob Dylan,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
Pluto Projector,Rex Orange County,bedroom pop
Innerbloom,RÜFÜS DU SOL,"australian electropop, indietronica"
Los Angeles,The Midnight,"nightrun, popwave"
Space Song,Beach House,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie"
Let It Happen,Tame Impala,"australian psych, modern rock, neo-psychedelic, rock"
Call It What You Want,Foster The People,"indietronica, modern alternative rock, modern rock, rock"
First Day Of My Life,Bright Eyes,"chamber pop, indie rock, melancholia, omaha indie, stomp and holler"
How I Get Myself Killed,Indigo De Souza,"asheville indie, bubblegrunge, indie pop"
I Think I Like When It Rains,WILLIS,alabama indie
K.,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze"
ON TOP,The Girl Next Door,weirdcore
California Dreamin' - Single Version,The Mamas & The Papas,"classic rock, folk rock, mellow gold, psychedelic rock, rock, soft rock, sunshine pop"
Hurt,Johnny Cash,"arkansas country, outlaw country, rock"
Time to Pretend,MGMT,"alternative rock, indie rock, indietronica, modern rock, rock"
Funky Thang,Shay Lia,"alternative r&b, canadian contemporary r&b, canadian pop, montreal indie"
Where Is My Mind? - 2007 Remaster,Pixies,"alternative rock, boston rock, permanent wave, rock"
Apocalypse,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze"
Take a Walk,Passion Pit,"indie rock, indietronica, modern rock, neo-synthpop, shimmer pop"
Doses & Mimosas,Cherub,Unknown
Heat Waves,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Borderline,Tame Impala,"australian psych, modern rock, neo-psychedelic, rock"
Althea - 2013 Remaster,Grateful Dead,"cosmic american, jam band, psychedelic rock"
Gap in the Clouds,Yellow Days,bedroom pop
In My Room,Frank Ocean,"lgbtq+ hip hop, neo soul"
The Light,Metronomy,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk"
The Difference,Flume,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica"
Amour plastique,Videoclub,"french indie pop, french synthpop"
You,Petit Biscuit,new french touch
Gloria,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Me Voy Pa'l Pueblo,Mapache,neo-psychedelic
Youth,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Arcade,Duncan Laurence,dutch pop
Firestone,Kygo,"edm, pop, pop dance, tropical house"
Lemon Glow,Beach House,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie"
Intro,The xx,"downtempo, dream pop, indietronica"
"Hold On, We're Going Home",Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Silver Soul,Beach House,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie"
Always Forever,Cults,"experimental pop, indie surf, pov: indie"
Sign of the Times,Harry Styles,pop
Forever Young,Alphaville,"new romantic, new wave pop, synthpop"
Kiss With A Fist,Florence + The Machine,"baroque pop, modern rock, neo mellow, uk alternative pop"
To Build A Home,The Cinematic Orchestra,"downtempo, nu jazz"
Jungle,Tash Sultana,australian reggae fusion
Tongue Tied,GROUPLOVE,"indie rock, la indie, modern alternative rock, modern rock, pov: indie"
I Need Some Sleep,Eels,"alternative rock, chamber pop, melancholia"
It Was A Good Day,Ice Cube,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
Funny Thing,Thundercat,"afrofuturism, indie soul"
Rocky,Still Woozy,"bedroom pop, oakland indie, pov: indie"
The King,Sarah Kinsley,"gen z singer-songwriter, indie pop"
212,Azealia Banks,"escape room, hip house, lgbtq+ hip hop, trap queen"
midnight sun (ramzoid x hal walker),ZOID LAND,sad lo-fi
Saturn,Sleeping At Last,"ambient worship, chamber pop"
Cigarette Daydreams,Cage The Elephant,"modern alternative rock, modern rock, pov: indie, punk blues, rock"
Je te laisserai des mots,Patrick Watson,"indie folk, indie quebecois"
September,"Earth, Wind & Fire","disco, funk, jazz funk, motown, soul"
Heaven,Los Lonely Boys,Unknown
City Of Stars,Ryan Gosling,hollywood
Epilogue,Justin Hurwitz,"hollywood, movie tunes"
Maps,STRFKR,"indie rock, indietronica"
The Spins,Mac Miller,"hip hop, pittsburgh rap, rap"
Dancing in the Moonlight (feat. NEIMY),Jubël,swedish pop
The Thrill,Wiz Khalifa,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Sleep Walk,Santo & Johnny,"space age pop, surf music"
Blood On The Leaves,Kanye West,"chicago rap, hip hop, rap"
Leave The Door Open,Bruno Mars,"dance pop, pop"
Gooey,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Sedona,Houndmouth,"indie folk, modern folk rock, new americana, stomp and holler"
Feel So Close - Radio Edit,Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Lights Are On,Tom Rosenthal,british singer-songwriter
STAY (with Justin Bieber),The Kid LAROI,australian hip hop
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,alternative r&b
Wait a Minute!,WILLOW,"afrofuturism, pop, post-teen pop, pov: indie"
Jerk It Out,Caesars,swedish indie rock
Window,Still Woozy,"bedroom pop, oakland indie, pov: indie"
My Kind of Woman,Mac DeMarco,"edmonton indie, lo-fi indie, pov: indie, slacker rock"
Machu Picchu,The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock"
La vie en rose - Single Version,Louis Armstrong,"adult standards, dixieland, harlem renaissance, jazz trumpet, lounge, new orleans jazz, soul, swing, vocal jazz"
Changing of the Seasons,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie"
What You Know,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie"
Eternal Summer,The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock"
"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,hollywood
Can I Call You Tonight?,Dayglow,"austindie, indie rock, pov: indie"
Hot Rod,Dayglow,"austindie, indie rock, pov: indie"
Only Human,Jonas Brothers,"boy band, pop"
"Gettin' By, High and Strange",Kris Kristofferson,"country, country rock, outlaw country, singer-songwriter"
Luckiest Man,The Wood Brothers,"jam band, modern blues, new americana, progressive bluegrass, roots rock, stomp and holler"
Can't You See,The Marshall Tucker Band,"album rock, classic rock, country rock, mellow gold, singer-songwriter, soft rock, southern rock"
Slow Cheetah,Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave, rock"
Laundry Room,The Avett Brothers,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler"
Cherry Flavoured,The Neighbourhood,"modern alternative rock, modern rock, pop"
Green Onions,Booker T. & the M.G.'s,"blues, classic soul, instrumental funk, instrumental soul, memphis soul, soul, southern soul, traditional blues"
Honeypie,JAWNY,"bedroom pop, pov: indie"
Let's Groove,"Earth, Wind & Fire","disco, funk, jazz funk, motown, soul"
Don't Stop 'Til You Get Enough,Michael Jackson,"r&b, soul"
Ho Hey,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Island In The Sun,Weezer,"alternative rock, modern power pop, modern rock, permanent wave, rock"
MIDDLE CHILD,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Undercover Martyn,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie"
Violent Crimes,Kanye West,"chicago rap, hip hop, rap"
She Knows (feat. Amber Coffman & Cults),J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
forever&more,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Pink + White,Frank Ocean,"lgbtq+ hip hop, neo soul"
Praise God,Kanye West,"chicago rap, hip hop, rap"
Moon,Kanye West,"chicago rap, hip hop, rap"
hello!,ROLE MODEL,"alt z, bedroom pop, pov: indie"
say it first,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Mando Calrissian,CZARFACE,alternative hip hop
Tangerine,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Domestic Bliss,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Helium,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
play the part,ROLE MODEL,"alt z, bedroom pop, pov: indie"
Yesterday - Remastered 2009,The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
I Want To Hold Your Hand - Remastered 2015,The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
Like I Can,Sam Smith,"pop, uk pop"
Dissolve Me,alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock"
Safe And Sound,Capital Cities,"metropopolis, modern rock"
Slide (feat. Frank Ocean & Migos),Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Thank You,Dido,"dance pop, europop, lilith, neo mellow, pop rock"
Ophelia,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Flowers in Your Hair,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler"
Left Hand Free,alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock"
Age Ye Rooz,Faramarz Aslani,classic persian pop
High Enough,K.Flay,"escape room, hip pop, modern alternative rock"
Girl from the North Country,Bob Dylan,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
November 18th,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
